Gene,Subcategory,NumTissues,Tissues,EventTypes,NumEvents,Max_|ΔΨ|,Hippo_ΔΨ,PFC_ΔΨ,Stri_ΔΨ,Threshold,Evidence
Rccd1,B2_Pathway,2,"hippocampus,prefrontal",RI,1,0.215,0.213,0.215,0.0,>=0.2,
Sec14l3,B2_Pathway,1,hippocampus,SE,1,0.325,-0.325,0.0,0.0,>=0.3,
Slc26a10,B2_Pathway,1,prefrontal,RI,1,0.326,0.0,0.326,0.0,>=0.3,
Slc39a11,B2_Pathway,2,"hippocampus,prefrontal",SE,1,0.202,-0.202,0.146,0.0,>=0.2,
Spag4,B2_Pathway,1,prefrontal,"RI,SE",2,0.319,0.0,0.319,0.0,>=0.3,
St18,B2_Pathway,2,"hippocampus,striatum",SE,1,0.236,0.166,0.0,0.236,>=0.2,
Tbc1d31,B2_Pathway,2,"hippocampus,striatum",SE,2,0.393,-0.231,0.0,-0.393,>=0.2,
Tcf7l1,B2_Pathway,1,striatum,SE,1,0.344,0.0,0.0,0.344,>=0.3,
Tedc2,B2_Pathway,2,"hippocampus,prefrontal",RI,2,0.247,0.203,-0.247,0.0,>=0.2,
Tgfbr3l,B2_Pathway,1,hippocampus,RI,1,0.319,0.319,0.0,0.0,>=0.3,
Tmem94,B2_Pathway,1,striatum,SE,1,0.354,0.0,0.0,0.354,>=0.3,
Tnnt1,B2_Pathway,1,striatum,A3SS,1,0.335,0.0,0.0,0.335,>=0.3,
Tox3,B2_Pathway,1,prefrontal,A3SS,1,0.336,0.0,0.336,0.0,>=0.3,
Unc13b,B2_Pathway,2,"hippocampus,striatum",SE,2,0.242,-0.242,0.0,-0.211,>=0.2,
Usf3,B2_Pathway,1,striatum,RI,1,0.371,0.0,0.0,-0.371,>=0.3,
Vav2,B2_Pathway,1,striatum,SE,2,0.319,0.0,0.0,-0.319,>=0.3,
Xaf1,B2_Pathway,2,"hippocampus,striatum",SE,1,0.25,-0.25,0.0,0.151,>=0.2,
Xpo1,B2_Pathway,1,striatum,A5SS,1,0.317,0.0,0.0,0.317,>=0.3,
Zfp783,B2_Pathway,2,"hippocampus,striatum","A3SS,SE",2,0.274,0.145,0.0,0.274,>=0.2,
