ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	11,14,14,26,13,5,11,9,9,7	0,0,0,1,0,0,0,1,0,0	19,9,21,12,16,12,13,9,11,12	0,1,0,0,0,0,0,0,0,0	80	75
3	2,5,4,2,5,2,2,3,4,4	1,1,0,1,0,0,0,0,0,0	8,6,10,7,5,9,9,6,3,4	0,2,0,0,0,0,0,0,2,0	150	75
6	0,2,2,3,1,3,5,5,0,5	0,0,0,0,0,0,0,0,0,0	1,5,0,1,1,2,6,2,1,2	0,0,0,1,1,0,0,0,0,0	150	75
7	0,0,0,0,1,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0	114	75
8	1,6,5,3,1,5,0,6,4,6	0,1,0,0,0,0,0,0,0,0	2,1,2,4,2,6,3,0,1,4	0,0,0,0,0,0,0,0,0,0	150	75
9	7,10,9,7,7,6,0,6,7,9	0,1,0,0,0,0,0,0,0,0	11,6,6,7,4,8,3,5,1,4	0,0,0,0,0,0,0,0,0,0	150	75
10	1,6,5,3,1,4,0,5,3,4	0,1,0,0,0,0,0,0,0,0	1,1,2,2,1,6,1,0,0,0	0,0,0,0,0,0,0,0,0,0	150	75
11	4,8,9,3,1,5,1,7,4,9	0,0,0,0,0,0,0,0,0,0	3,3,4,5,5,6,5,3,4,4	0,0,0,0,0,0,1,0,0,0	150	75
12	10,12,13,7,7,6,1,7,7,12	0,0,0,0,0,0,0,0,0,0	12,8,8,8,7,8,5,8,4,4	0,0,0,0,0,0,1,0,0,0	150	75
13	4,8,9,3,1,4,1,6,3,7	0,0,0,0,0,0,0,0,0,0	2,3,4,3,4,6,3,3,3,0	0,0,0,0,0,0,1,0,0,0	150	75
14	10,8,9,8,10,4,6,3,5,10	0,0,0,0,0,1,0,1,1,2	13,8,10,10,10,8,4,7,4,8	1,0,0,2,1,1,2,0,1,4	150	75
15	4,4,5,4,4,2,6,2,1,5	0,0,0,0,0,1,0,1,1,2	3,3,6,5,7,6,2,2,3,4	1,0,0,2,1,1,2,0,1,4	150	75
16	1,0,0,0,1,0,0,0,0,1	6,4,4,4,6,2,0,1,4,5	0,2,0,0,0,1,0,0,0,0	10,5,4,5,3,3,2,5,1,4	150	75
18	2,1,1,1,1,0,0,0,0,0	26,27,21,18,11,15,17,22,32,15	1,2,0,1,1,0,1,1,0,1	16,18,18,22,18,22,24,19,33,12	80	75
20	1,4,3,0,0,2,1,4,2,2	1,0,0,0,0,0,0,0,0,1	1,2,0,8,1,4,1,2,2,0	0,0,0,0,0,0,2,0,0,0	119	75
23	3,12,15,16,14,7,7,6,8,13	3,6,7,9,7,7,3,4,3,9	13,10,10,10,19,12,14,13,4,1	4,3,4,13,10,4,9,7,4,1	150	75
24	19,21,25,24,15,12,13,18,18,20	1,0,0,0,0,0,0,2,0,0	20,19,10,23,18,22,17,24,14,15	0,2,0,1,0,0,0,0,0,0	150	75
25	16,25,27,19,26,13,16,15,18,20	1,4,3,6,0,1,3,2,2,1	17,19,17,25,27,19,25,16,12,22	2,1,1,1,0,1,1,1,0,0	150	75
26	8,10,17,9,13,4,14,6,9,10	0,0,0,0,0,2,0,0,0,0	10,10,19,8,14,14,13,15,11,11	0,0,0,0,0,0,0,0,0,0	134	75
27	4,8,12,4,4,6,4,5,5,9	0,0,0,0,0,0,1,0,0,0	8,3,3,3,6,9,7,4,10,10	1,0,2,0,0,2,0,0,0,0	150	75
28	7,18,11,6,14,0,8,9,11,5	0,0,2,0,2,1,1,1,2,0	6,4,6,7,9,11,9,5,1,1	1,2,1,2,2,2,2,3,0,0	90	75
29	45,48,58,54,58,39,56,45,64,58	9,24,16,12,13,29,10,13,24,24	38,61,61,44,44,54,64,45,58,55	13,14,12,8,9,14,22,13,16,18	150	75
32	710,674,716,1038,862,557,639,682,780,855	73,66,101,98,91,70,88,66,70,87	707,1230,789,854,942,808,1003,836,745,811	84,117,97,100,97,78,98,95,73,75	150	75
33	5,6,3,3,2,2,2,1,4,3	4,5,6,2,3,3,2,2,3,1	4,2,2,3,2,1,5,1,0,2	4,3,3,4,3,1,8,1,1,3	114	75
34	2,0,1,1,1,0,0,0,0,1	12,16,8,9,15,8,11,12,18,12	0,2,0,1,1,2,0,1,2,1	6,7,4,15,10,17,9,9,5,2	85	75
38	8,3,6,3,9,4,11,2,5,7	3,7,4,6,3,4,5,2,3,5	5,3,8,5,2,3,4,5,5,4	1,3,2,7,6,2,8,8,7,8	93	75
39	1,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,1,0,2,2	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,2,0,0	105	75
42	28,22,28,41,18,24,32,26,27,33	0,0,0,0,2,0,1,0,1,2	26,30,24,22,37,22,36,36,22,25	0,2,0,1,0,2,1,0,0,1	150	75
43	8,9,12,17,13,3,2,5,9,3	11,15,8,10,12,2,8,10,8,6	14,11,8,18,13,3,14,6,3,3	14,5,6,9,11,11,12,5,1,2	85	75
44	2,2,3,4,0,1,0,0,2,0	0,0,2,0,0,0,0,0,1,0	1,3,0,2,4,0,3,1,0,0	0,0,0,0,0,0,1,0,0,0	96	75
46	0,1,1,2,3,1,3,3,2,3	1,0,0,1,0,0,0,0,0,0	1,0,2,1,1,2,3,0,1,1	0,0,0,0,0,0,0,0,0,0	138	75
47	2,0,4,2,4,2,1,3,7,8	0,0,0,0,1,0,0,0,0,0	2,3,4,6,2,6,1,2,6,0	0,0,0,0,0,0,1,0,0,0	150	75
48	12,20,14,14,15,11,16,15,17,16	0,1,0,0,0,0,0,0,0,0	13,13,7,9,16,13,18,10,19,5	1,0,0,0,0,0,1,0,0,1	81	75
50	123,117,136,129,104,127,107,124,123,126	0,1,0,0,0,0,0,0,0,0	90,109,93,121,113,128,118,99,137,120	0,0,0,0,0,0,0,0,0,0	150	75
51	62,87,79,94,79,55,63,64,62,68	13,7,13,12,15,5,8,6,6,11	69,59,73,63,81,58,82,66,81,59	6,2,6,10,8,11,6,14,9,1	96	75
53	46,34,49,57,34,29,36,25,31,42	0,0,0,0,1,0,0,0,1,0	42,23,26,35,63,38,44,34,36,15	0,0,0,0,0,0,0,0,0,0	150	75
54	103,96,114,127,97,73,73,68,77,89	2,1,5,10,4,0,4,3,5,4	105,66,63,90,131,91,97,65,76,37	8,3,4,7,5,2,6,4,3,3	150	75
55	1,1,3,1,1,0,1,2,1,0	0,0,1,4,0,0,0,1,1,4	2,2,1,2,1,0,0,4,3,2	1,2,3,2,1,0,1,0,2,1	84	75
59	54,47,66,56,55,46,57,43,51,64	1,0,0,0,0,0,0,0,0,0	59,49,41,42,67,57,77,50,56,46	0,0,0,0,1,0,0,0,0,1	126	75
60	10,7,13,10,16,3,6,7,10,8	1,0,1,1,0,0,0,0,0,1	8,6,6,6,10,10,13,14,6,4	1,0,0,0,0,0,1,2,0,1	86	75
61	6,9,0,4,4,2,4,0,9,8	6,1,3,5,4,2,4,3,6,3	4,2,1,2,6,3,2,1,2,2	2,3,2,2,3,2,3,6,3,5	150	75
62	4,4,7,12,1,6,3,4,9,3	2,1,1,1,1,0,0,0,0,1	3,3,6,8,7,6,7,5,6,8	0,0,0,1,0,0,0,0,0,0	117	75
64	139,118,118,135,105,129,108,143,102,125	0,0,0,0,0,0,0,0,0,1	134,115,105,135,143,117,123,92,142,121	0,0,0,0,0,0,0,0,0,0	150	75
72	1,1,0,3,1,1,0,0,1,2	23,35,26,27,27,18,17,29,29,35	0,4,0,3,0,1,4,2,0,0	32,27,24,32,34,21,39,28,27,13	150	75
73	4,3,3,7,4,1,4,5,1,4	4,0,3,6,7,1,0,3,4,4	2,2,2,5,2,5,6,3,4,1	4,2,1,1,2,2,5,6,2,0	87	75
75	0,1,0,0,1,0,0,0,0,0	10,9,8,8,7,9,13,12,16,17	0,0,1,0,0,1,1,0,0,0	23,16,10,11,11,12,9,11,15,16	78	75
76	15,10,13,22,11,2,12,12,5,9	2,1,0,2,1,1,0,0,1,1	17,9,4,11,8,4,14,10,13,16	0,1,0,0,0,0,0,2,0,1	150	75
78	3,2,7,0,2,0,3,9,2,0	19,18,28,34,17,15,20,14,26,31	1,0,5,1,4,0,3,1,0,0	18,20,11,27,36,19,17,21,19,19	150	75
80	44,46,45,58,49,34,42,43,25,39	0,1,1,0,0,0,0,0,1,1	47,54,28,39,50,41,51,54,45,38	0,0,0,0,0,1,1,0,1,0	150	75
85	277,266,316,309,274,278,242,272,273,357	0,0,0,0,0,0,0,0,0,0	323,326,319,283,320,278,298,286,299,327	0,0,0,0,0,0,0,2,3,0	150	75
86	24,25,34,36,11,17,15,22,16,23	20,23,22,24,22,18,13,20,24,21	19,16,19,21,29,14,23,23,23,15	20,12,17,16,23,28,29,29,38,16	78	75
87	4,4,6,7,3,5,3,4,8,8	4,3,1,5,2,0,3,1,5,6	6,3,6,9,6,9,7,6,3,2	2,4,6,1,2,5,2,3,6,1	150	75
88	0,0,0,0,0,0,0,0,0,0	16,13,14,8,11,7,6,17,10,8	1,0,0,0,0,2,0,0,1,0	13,11,9,7,16,10,16,9,9,7	83	75
90	69,94,108,87,90,86,62,71,79,88	2,0,1,0,0,0,0,0,0,0	81,93,74,80,88,71,86,76,76,65	0,0,0,0,0,0,1,0,0,0	135	75
91	0,2,0,0,2,0,0,0,0,0	24,29,39,33,32,18,19,28,23,29	1,0,2,0,0,1,0,2,0,0	38,41,26,19,27,32,31,25,20,10	117	75
92	37,31,27,40,45,19,19,44,29,36	1,1,0,0,1,1,0,0,1,1	27,34,28,29,36,42,46,33,22,15	2,0,1,1,2,1,0,2,1,1	150	75
96	15,12,17,19,8,15,13,14,16,18	0,1,4,1,1,1,2,1,1,0	14,14,23,10,13,16,22,23,15,12	0,0,2,0,2,0,3,0,1,2	97	75
98	1,0,1,2,0,2,0,4,3,2	50,52,46,46,41,33,31,36,45,36	2,1,0,4,1,0,0,1,1,2	35,31,30,48,43,42,47,37,55,32	79	75
99	5,4,7,1,7,7,6,9,5,7	0,0,0,0,0,0,0,0,0,0	7,3,9,7,13,9,13,8,6,5	0,0,0,0,0,0,0,0,1,0	78	75
100	4,7,7,9,5,7,5,12,6,1	10,10,8,6,15,10,5,10,11,11	2,5,7,10,8,4,4,10,6,3	16,14,15,7,9,7,13,15,11,11	150	75
104	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,1,0	0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0	99	75
105	7,3,4,1,0,2,4,2,3,5	3,6,2,10,5,3,4,2,3,4	1,1,1,2,4,2,4,0,0,1	6,5,4,3,7,1,1,4,4,2	150	75
106	0,0,1,0,0,0,3,0,0,0	103,136,122,131,99,104,105,99,86,142	0,0,0,0,1,0,0,0,0,1	115,127,135,144,131,125,135,119,151,143	150	75
107	121,174,137,154,147,115,121,118,122,162	0,0,0,0,0,0,0,0,0,0	141,149,147,130,154,148,170,143,177,188	0,0,0,0,1,0,0,0,0,0	150	75
109	0,0,0,0,0,2,1,0,0,0	20,19,20,16,19,17,19,20,22,20	0,1,1,1,1,0,1,0,1,0	21,28,17,21,25,20,31,12,21,27	133	75
111	22,33,24,24,21,20,22,22,18,31	0,0,0,0,0,0,0,1,0,0	33,22,24,30,29,20,33,28,25,45	0,0,0,0,0,0,0,0,0,0	150	75
112	0,0,0,0,0,1,1,0,0,0	16,16,14,12,7,9,13,13,13,14	0,0,0,0,1,0,0,0,0,0	18,12,13,20,25,8,12,12,12,15	118	75
113	7,10,6,7,18,6,7,5,6,8	10,12,2,9,7,13,12,7,8,4	9,7,9,12,8,5,20,13,6,22	11,5,11,14,16,9,5,8,7,11	78	75
115	28,22,17,27,20,0,3,8,13,8	0,0,1,0,0,0,0,0,0,0	17,19,6,14,22,10,22,5,4,3	0,0,0,0,0,1,0,0,0,0	113	75
121	178,209,225,240,151,192,162,188,183,233	0,1,0,0,2,0,5,0,0,0	185,202,146,156,178,141,189,180,179,167	0,0,2,0,1,1,1,2,3,0	146	75
123	132,155,122,144,100,129,96,127,134,176	3,1,1,2,1,2,2,0,1,2	155,127,118,137,125,125,170,156,119,183	1,1,1,1,0,0,1,1,1,0	102	75
124	30,50,43,52,42,43,24,47,50,69	5,3,3,6,1,3,7,2,6,3	41,43,42,40,52,42,45,48,50,66	2,3,0,9,0,3,5,6,3,9	150	75
125	17,28,26,31,31,23,17,27,35,46	0,0,0,0,0,0,0,0,0,0	27,25,20,23,35,29,26,25,31,39	0,0,0,0,0,0,0,0,0,1	150	75
127	18,20,31,24,18,13,19,22,14,17	0,0,1,2,0,2,1,0,1,3	15,24,24,15,25,12,17,11,22,20	1,0,3,2,0,1,1,0,3,0	100	75
129	1,0,0,0,0,0,0,0,0,3	30,20,20,21,28,35,13,23,20,25	1,0,0,0,2,1,0,0,0,1	11,14,17,16,23,18,25,16,24,27	150	75
130	4,3,3,7,3,3,4,2,2,4	0,0,0,0,0,0,0,0,1,0	3,2,6,4,6,1,5,4,4,5	0,0,0,0,0,1,0,0,0,0	85	75
131	32,23,35,28,30,22,26,32,39,45	5,0,5,6,4,4,2,4,6,9	28,35,29,35,40,39,19,30,34,19	0,4,9,3,3,6,3,2,3,4	121	75
132	2,3,4,2,7,7,6,7,4,2	100,104,100,87,92,108,82,94,107,77	2,4,1,4,7,6,3,8,3,6	105,77,91,118,80,110,112,110,95,130	79	75
134	1,1,1,1,0,1,0,0,0,2	1,0,0,0,0,0,2,0,0,0	0,0,0,0,1,1,4,2,0,2	0,0,0,0,0,0,0,0,0,0	115	75
136	9,9,15,3,8,9,6,14,9,6	11,15,18,12,24,11,8,13,12,11	12,15,7,11,5,5,16,5,9,2	22,14,18,24,13,14,19,12,16,10	81	75
137	9,8,5,6,6,11,14,3,3,9	0,0,0,0,0,1,0,0,0,1	10,6,6,8,8,7,9,4,7,7	0,0,0,0,0,0,0,0,0,0	150	75
