ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
34	5,9,5,11,10,7,7,5,5,6	5,5,8,2,4,12,5,3,1,9	9,3,6,5,7,6,11,9,11,6	8,2,1,3,3,7,4,2,8,6	288	75
35	0,1,1,5,7,0,0,1,1,0	89,73,55,74,75,85,71,85,58,85	3,1,3,0,1,1,3,2,3,4	71,72,65,81,66,61,59,59,87,87	282	75
36	1,0,1,5,1,1,1,1,1,1	3,0,2,0,0,1,1,3,1,0	1,1,2,0,2,1,1,2,7,2	2,1,2,1,0,3,2,1,2,3	301	75
37	1,1,4,5,1,3,2,5,3,0	1,0,0,1,1,2,0,0,3,0	1,1,0,2,1,0,2,5,7,6	0,1,3,0,2,0,2,0,0,0	169	75
38	18,13,14,11,8,10,14,12,10,10	44,49,33,49,43,38,36,54,58,50	17,4,11,2,19,9,10,16,11,7	37,50,40,48,77,45,43,44,65,58	1603	75
39	37,51,41,51,35,28,23,38,34,51	0,2,1,1,2,2,1,1,0,2	56,34,32,28,47,32,34,31,49,58	2,0,0,1,0,2,0,0,3,2	559	75
40	39,29,19,43,37,20,27,24,21,27	176,205,236,273,230,198,197,219,186,250	33,18,18,22,29,23,25,33,32,46	217,229,204,210,206,197,251,217,244,210	265	75
41	12,11,6,18,12,9,11,11,12,8	1,4,0,4,1,4,6,1,1,3	15,6,8,9,14,4,10,6,19,18	5,1,3,4,2,2,4,4,1,3	646	75
42	5,6,8,7,6,4,2,9,4,5	0,0,0,0,0,0,0,0,0,0	5,5,5,7,2,3,3,5,10,4	1,0,0,0,0,0,0,2,0,0	415	75
43	5,10,16,10,11,10,16,7,7,12	124,140,143,173,159,139,120,129,131,171	17,7,2,6,6,4,5,12,9,11	144,134,129,136,154,140,144,144,158,153	169	75
44	0,0,1,1,1,2,1,0,3,4	13,1,5,2,2,1,3,0,2,9	0,0,1,0,1,2,1,0,2,0	4,2,3,1,2,9,8,0,7,0	1451	75
47	177,178,188,258,151,152,129,167,174,165	7,4,2,2,6,3,6,4,1,3	193,97,109,96,225,112,100,104,145,144	9,11,6,4,3,4,4,3,3,6	3457	75
48	36,35,50,40,31,34,30,37,31,43	0,0,0,0,0,0,1,0,0,0	49,33,20,25,49,32,47,34,47,50	0,0,0,0,0,0,0,0,0,0	226	75
