ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
346	11,16,20,19,11,16,11,9,16,21	104,123,117,130,121,145,96,110,123,123	15,13,12,16,15,17,23,15,18,21	105,119,94,119,126,118,126,119,162,148	150	75
347	16,12,9,17,10,18,11,11,11,19	104,128,123,132,114,150,105,115,115,130	20,14,12,10,14,9,16,17,13,15	121,124,126,123,149,130,171,114,148,173	150	75
348	24,26,18,23,21,22,25,30,29,24	1,0,0,0,0,1,1,0,0,0	19,21,17,21,24,17,22,24,32,35	1,0,0,0,1,3,3,1,0,2	150	75
349	27,31,28,26,25,31,30,49,38,32	60,93,65,79,71,94,62,70,67,98	32,27,30,35,37,27,32,35,33,50	60,74,60,65,82,76,101,72,92,94	150	75
350	26,29,32,24,28,30,34,47,44,30	1,0,1,0,3,1,3,2,0,1	29,22,28,31,37,23,29,33,36,58	3,5,1,2,0,1,1,1,4,2	150	75
351	21,20,22,32,17,21,26,24,35,24	2,7,2,12,7,4,4,7,5,4	24,25,28,22,26,18,38,29,28,29	4,4,5,8,3,5,7,5,6,6	150	75
352	0,1,0,0,2,0,0,0,0,1	0,0,0,1,2,0,0,1,2,1	2,1,0,1,5,0,0,1,3,3	3,1,2,2,1,0,3,0,0,0	138	75
353	0,1,1,3,3,0,0,0,2,1	32,38,36,44,35,27,16,41,39,36	3,1,0,1,6,3,0,1,3,5	31,41,25,28,28,32,25,20,39,36	150	75
354	3,1,2,0,0,0,1,0,3,2	14,18,13,15,17,13,13,10,16,16	1,0,0,0,1,0,0,0,1,0	14,10,13,16,18,13,10,7,16,11	150	75
355	4,6,6,5,7,2,4,6,8,7	9,10,11,8,6,10,14,6,12,12	4,3,2,2,8,7,3,5,5,11	7,24,15,11,5,4,10,8,9,7	150	75
356	4,8,8,6,8,2,4,7,9,7	11,13,13,14,8,9,5,13,12,12	5,3,2,2,8,7,5,5,6,13	15,8,8,14,7,16,10,9,18,13	150	75
357	1,1,1,0,1,1,2,0,1,2	46,45,45,39,50,60,39,48,53,58	0,0,1,0,2,1,0,1,0,2	64,62,76,53,69,66,54,69,71,60	150	75
358	3,3,5,5,1,3,2,2,1,1	4,2,2,4,1,2,6,3,3,8	1,2,0,2,2,0,2,1,1,0	5,6,3,2,0,6,4,4,1,5	144	75
359	3,1,0,0,0,0,2,0,1,0	19,26,38,30,28,18,25,20,25,23	0,0,0,0,0,0,0,0,1,2	26,20,18,22,28,36,31,26,21,21	150	75
360	2,1,0,0,0,3,0,1,0,0	22,14,19,33,24,18,17,23,21,27	0,0,0,0,0,0,0,0,0,1	29,16,24,10,20,14,21,16,26,22	150	75
361	0,0,3,2,3,1,0,1,1,0	43,37,39,32,35,28,38,34,34,39	0,2,0,0,3,0,0,0,0,2	32,28,34,26,28,42,35,33,34,37	147	75
362	0,0,0,0,0,0,1,0,0,0	55,33,37,43,38,30,49,31,39,59	0,0,0,0,0,0,0,0,0,0	41,38,25,41,52,45,37,36,48,45	150	75
363	57,59,44,68,47,64,62,49,64,61	297,342,336,372,305,373,313,345,339,391	57,52,43,59,46,48,60,54,65,60	350,332,299,311,362,346,344,323,364,461	150	75
364	69,98,74,78,66,93,65,85,85,109	331,348,356,365,346,373,326,331,344,464	89,85,96,73,84,88,81,83,96,108	339,342,317,324,356,312,363,347,355,393	150	75
365	3,3,2,2,1,2,1,2,1,4	79,86,97,137,88,126,76,104,91,149	2,2,0,0,0,2,1,1,3,6	107,77,81,78,127,111,101,91,122,103	150	75
367	2,1,0,3,0,0,0,0,1,2	0,0,0,0,1,0,0,0,0,0	0,0,1,0,4,0,0,1,1,0	0,0,0,0,0,0,0,0,0,0	150	75
368	0,0,1,1,2,0,1,1,0,0	10,8,4,12,6,2,9,10,7,13	0,0,0,0,0,0,0,0,0,0	8,2,5,6,11,12,15,5,7,7	150	75
369	11,20,13,18,12,9,12,14,14,14	6,5,14,9,6,7,4,8,15,9	11,8,10,12,17,6,8,13,14,8	7,7,7,7,16,11,15,11,8,6	150	75
370	11,11,17,18,10,10,18,11,7,8	62,76,78,84,63,73,72,81,78,86	13,11,7,11,15,8,23,6,23,15	91,75,68,76,83,81,74,80,82,81	150	75
371	17,11,9,11,9,6,16,12,12,12	104,94,104,97,82,85,92,92,72,97	10,10,10,17,20,7,14,16,14,20	94,99,81,88,95,111,100,84,120,86	150	75
372	0,1,1,0,0,3,0,0,0,0	1,1,0,1,2,0,0,0,1,0	1,1,0,0,1,0,0,0,2,0	2,3,0,0,1,0,0,0,3,0	150	75
373	4,4,4,11,2,6,6,11,10,6	64,49,78,66,69,69,37,56,63,78	10,5,4,10,6,8,6,4,8,14	60,61,58,62,71,67,64,43,75,72	150	75
374	1,1,2,3,3,1,0,2,0,8	16,10,11,13,10,17,14,16,8,11	1,1,1,1,5,0,3,0,0,2	9,17,11,10,12,12,1,17,17,24	150	75
375	11,11,15,13,14,11,14,15,10,10	3,3,2,6,5,4,0,6,4,6	12,14,19,16,15,11,13,6,15,20	4,4,2,3,1,1,2,2,3,2	150	75
376	1,2,0,0,0,2,0,0,0,0	13,8,7,16,8,4,10,9,13,11	0,1,0,0,0,1,0,0,2,3	14,10,14,6,7,16,13,7,11,13	150	75
377	0,0,0,1,0,0,1,1,0,0	47,56,53,45,59,9,26,35,30,26	0,0,1,0,0,0,0,0,3,0	57,29,30,38,45,42,48,46,29,18	150	75
378	0,4,2,2,1,1,4,4,3,1	7,6,3,1,6,4,2,4,9,8	2,1,4,2,3,4,2,3,2,1	3,2,1,5,2,4,6,2,3,3	150	75
379	0,1,4,2,0,2,1,0,0,1	10,6,10,14,7,3,4,4,8,5	1,0,1,1,1,1,1,2,0,1	5,8,4,7,9,4,6,6,14,11	150	75
380	0,1,4,2,0,2,1,0,0,1	1,0,2,0,1,3,0,1,1,0	1,0,1,2,1,1,1,2,0,1	1,2,0,0,0,0,0,0,2,0	150	75
381	0,0,1,0,0,0,0,0,0,4	20,22,9,25,10,15,21,20,7,29	0,1,0,0,0,0,0,0,1,0	23,13,13,10,18,15,22,9,13,11	145	75
