Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000025938.16,71.06646564020105,-0.739660287389747,0.16617365562427344,-4.451128457221608,8.542022272870204e-06,0.003298796478758807
ENSMUSG00000026147.16,20.036979269122405,-0.743382884752938,0.1900128163533955,-3.912277598003477,9.142972663335846e-05,0.01552126405003363
ENSMUSG00000026065.8,18.66541299127087,-1.1914662183222031,0.28405271040468727,-4.194525081717165,2.73443894869829e-05,0.008310630676534349
ENSMUSG00000036480.9,23.10136904982331,-1.2985417733546836,0.32401938721705614,-4.007605176059444,6.133754866384373e-05,0.012831496543859672
ENSMUSG00000026308.8,28.807242820088057,-1.220809420505261,0.3477083749119929,-3.511015289218315,0.00044639872323663327,0.038868057480517235
ENSMUSG00000026354.8,70.59847487050163,0.5251310778124647,0.15143892478990714,3.467609655450108,0.000525109450224451,0.04253553214894272
ENSMUSG00000038718.15,302.97645921665514,-0.5764870138219288,0.11997407013992326,-4.8050967442346835,1.5467669446447917e-06,0.0009582816132437809
ENSMUSG00000027074.14,17.44310309176964,-0.9227773228700485,0.22494732025115208,-4.102193001631557,4.092526701082053e-05,0.009694473544269075
ENSMUSG00000044338.9,22.89322647227979,0.9717219531359939,0.25271791907824737,3.8450852898765993,0.00012051051515901727,0.018665224790206252
ENSMUSG00000074934.3,50.10241115541768,-0.720730970151838,0.20998818332432936,-3.4322453708676552,0.0005986057015281564,0.04613002469749398
ENSMUSG00000027377.2,36.1185227239951,0.7399356673245326,0.1787259949086101,4.140056222391667,3.4722071119896157e-05,0.008862791989941818
ENSMUSG00000081434.3,11.665041588208343,3.1693817288624615,0.4311284007647105,7.351363823957773,1.9619458370792676e-13,5.267170590612141e-10
ENSMUSG00000055865.8,12.970482197688307,-1.5731508185132055,0.41327679075213297,-3.806530765132463,0.00014092976867664746,0.020826575356361808
ENSMUSG00000002228.7,33.60664567709205,-1.1788446358087885,0.34608293125682366,-3.406248992193097,0.0006586208228781252,0.04885785078352146
ENSMUSG00000107331.1,850.3866765607439,0.6785927172299443,0.09870735352461565,6.874793954036228,6.207952172203534e-12,1.111085484331717e-08
ENSMUSG00000037605.16,3276.2934094299285,-1.8922245062525094,0.1645258825492674,-11.501074949018317,1.3028266408290513e-30,6.99531051015812e-27
ENSMUSG00000106746.1,80.92124596502842,-5.397818180394386,0.26160718059101395,-20.63329518784546,1.3792376753801706e-94,2.2216760475023787e-90
ENSMUSG00000035505.14,504.2290154050721,0.8203071604534942,0.04801805664782017,17.083306108572657,1.975983961236193e-65,1.5914574823796296e-61
ENSMUSG00000029373.7,22.154893954445516,-0.6642961943137597,0.18998911119565728,-3.4964961419796565,0.00047141131052584075,0.03975650989502745
ENSMUSG00000029413.14,767.6559780064322,-0.5433733408786401,0.07640216107126475,-7.11201533123918,1.1436055419105206e-12,2.631599724156381e-09
ENSMUSG00000047963.7,272.1806113062999,2.248887907479147,0.2545440356894742,8.834966026163865,1.001286849435087e-18,4.0321821426750956e-15
ENSMUSG00000097516.7,22.23078940430866,2.841678832242963,0.3298256872341896,8.615698965330301,6.951618737988737e-18,2.2395334926304512e-14
ENSMUSG00000105686.1,69.86702103333218,0.9582898305981916,0.20051076150508645,4.779243883994138,1.7595565453819247e-06,0.0010497384012226683
ENSMUSG00000087611.1,19.09709383811938,-2.804198952820151,0.445930187140292,-6.288425932326343,3.207010126057789e-10,4.4031447497141395e-07
ENSMUSG00000106164.1,31.763049673685572,-2.4701024932044544,0.5593723120014978,-4.415846905911639,1.006152780328537e-05,0.0037690951129144357
ENSMUSG00000029304.14,264.571187238011,-0.844367824299174,0.23077401740900294,-3.6588513463484627,0.00025334823469861674,0.02978783477755707
ENSMUSG00000033540.18,307.8486226978426,-0.717889353785483,0.10253017289051827,-7.001737474412,2.528074669822871e-12,5.09027834768835e-09
ENSMUSG00000007080.14,37.76799558586798,-0.6457355956875647,0.17807638882440674,-3.6261718914588728,0.00028765391246577554,0.031736501520539126
ENSMUSG00000048215.14,22.31247564812482,-1.2459729122323249,0.19824800189107514,-6.284920404478572,3.2802170968816536e-10,4.4031447497141395e-07
ENSMUSG00000098027.1,104.9177506825911,-1.4249529173710596,0.3186893925165,-4.471290701328514,7.774892757501064e-06,0.003211230065072491
ENSMUSG00000104807.1,29.906203922832,1.1781396035782328,0.20130744865974956,5.852439198956456,4.844153608998975e-09,4.589978019632676e-06
ENSMUSG00000107108.2,21.018041205470347,-0.7125267346116478,0.19555650486043016,-3.643584932754768,0.00026886687569188525,0.030499349532710475
