Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000037727.6,49.52341678203656,3.225678986221864,0.7040426892146543,4.581652555500641,4.61315888176815e-06,0.0032910352770453453
ENSMUSG00000081434.3,10.10549122044703,2.3248771025536756,0.4861338600255705,4.782380520524506,1.7323135465240764e-06,0.0014446628821237536
ENSMUSG00000046808.17,237.86026395991803,0.6136788327031583,0.13951591053187434,4.398629735946531,1.0893649815618737e-05,0.006265351216369136
ENSMUSG00000107331.1,810.4078308410219,0.6722621052053274,0.11335257480050363,5.930717554395954,3.016136579740696e-09,5.589571334832785e-06
ENSMUSG00000037605.16,3710.325777524482,-1.8448865526480076,0.07000872993899417,-26.352235703399387,4.838363834909003e-153,8.069907040244727e-149
ENSMUSG00000106746.1,68.52147064592262,-5.048432179851118,0.25578202001715883,-19.737244156225092,1.0325846715595842e-86,8.611239868471153e-83
ENSMUSG00000035505.14,422.7029970571945,0.7667886520390825,0.06019743632728389,12.737895478973135,3.640838612558736e-37,2.024184907295572e-33
ENSMUSG00000047963.7,84.66905859386274,1.8252928853939907,0.2069896365483463,8.81828151317933,1.1622973442541814e-18,4.8464893512038725e-15
ENSMUSG00000029381.16,121.65986311711674,-1.134762933287467,0.20142717508163854,-5.633613899552267,1.7647187226534388e-08,2.6757948704669733e-05
ENSMUSG00000105686.1,176.0133886045133,0.6913447471715727,0.11719888555360444,5.89890205786441,3.6592835804116915e-09,6.103319083768661e-06
ENSMUSG00000087611.1,30.924598969314076,-2.851621396904304,0.6231454327995478,-4.576173148045213,4.735586464961226e-06,0.0032910352770453453
ENSMUSG00000106164.1,11.155917120975976,-2.855188181405954,0.5587677503823393,-5.109794148735819,3.2251000986386627e-07,0.0003842246038942447
ENSMUSG00000029287.14,592.1124243620441,-0.5079898304931989,0.10881163889143929,-4.668524761399994,3.0337021944112933e-06,0.0022999599500266345
ENSMUSG00000033540.18,369.4388423565181,-0.6160787159944378,0.12866295151496082,-4.788314808111647,1.681876689923327e-06,0.0014446628821237536
ENSMUSG00000098027.1,24.823725644455795,-1.9455393820144964,0.31179884503624195,-6.2397260701474275,4.383378280411566e-10,1.044433804842636e-06
ENSMUSG00000107108.2,17.707580463457482,-1.023109824827486,0.23230062247616293,-4.404249174719583,1.0615087848965599e-05,0.006265351216369136
ENSMUSG00000067274.10,3237.321225420891,-0.5940540918693527,0.11427310044824408,-5.198547073100622,2.0085226403441345e-07,0.00025769345475615247
ENSMUSG00000063696.7,247.90815956695792,4.149652415001272,0.8807499775722235,4.711498746147843,2.459016105838251e-06,0.0019530442680607705
ENSMUSG00000032327.14,172.84433068775508,-0.6105531362810827,0.14626446581316296,-4.174309411972955,2.9889131341462413e-05,0.015578775676382862
ENSMUSG00000084020.3,82.31689045543307,3.4430291936176083,0.49552906488163306,6.9481881843601725,3.7000723885373e-12,1.2342701473682725e-08
ENSMUSG00000097381.2,36.902313803813556,-0.5426021420682394,0.14028524822695276,-3.867848893066935,0.00010979966659867168,0.04949590916754717
ENSMUSG00000097906.1,107.48546895490992,1.8987997601129218,0.42157219296223514,4.504091569158638,6.665746211558732e-06,0.004276076194714927
