ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
52	0,1,5,1,2,3,0,2,2,2	3,4,5,3,4,2,1,1,3,3	6,1,3,1,4,1,3,0,1,3	2,3,1,3,0,3,3,2,1,1	84	75
53	0,2,0,0,1,1,0,0,1,0	0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,1,0,1	0,0,0,0,0,1,0,0,0,0	92	75
56	68,83,70,57,40,78,63,53,62,75	1,0,0,0,0,0,0,0,0,0	66,83,62,50,66,81,71,68,71,53	0,0,0,0,0,0,0,1,0,0	126	75
57	16,14,18,7,11,15,16,13,13,16	2,1,1,2,0,0,0,0,0,0	12,19,15,16,16,18,20,11,11,12	1,2,0,1,4,0,0,0,2,1	86	75
58	6,2,8,7,3,5,9,6,8,6	12,0,6,0,8,5,2,5,3,7	2,4,4,7,5,2,4,2,4,5	2,3,6,6,5,5,12,3,4,5	150	75
59	3,3,7,6,2,2,4,2,5,4	0,4,0,1,0,0,0,0,1,2	4,5,4,5,4,5,7,6,4,3	0,1,0,3,0,0,1,1,1,0	117	75
61	110,113,110,90,122,84,83,86,95,108	0,0,0,0,0,0,0,1,0,0	95,120,105,90,99,100,104,120,93,82	0,0,0,0,0,0,0,0,0,0	150	75
62	273,277,288,261,214,230,239,213,217,241	0,0,0,0,0,0,0,0,0,0	222,253,213,210,232,223,244,234,225,237	0,0,0,1,0,0,0,0,0,0	150	75
70	2,0,0,4,2,1,1,0,1,0	45,31,42,30,40,26,25,33,22,18	1,2,1,1,2,0,0,4,1,1	34,37,31,29,31,40,16,15,18,29	150	75
71	8,6,7,4,5,4,0,4,3,6	6,4,8,2,4,5,5,6,12,6	10,3,6,8,4,5,9,4,5,3	6,3,4,8,4,10,5,2,6,3	87	75
73	1,0,0,1,0,0,0,0,1,2	30,18,26,21,19,10,8,9,9,15	0,0,0,2,0,1,0,0,0,0	18,24,19,13,13,16,21,15,9,4	78	75
74	0,0,0,1,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,1,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0	105	75
75	22,27,16,22,13,8,32,22,24,18	2,0,3,4,0,0,5,3,1,0	24,18,13,19,17,13,18,21,20,11	1,0,1,0,2,3,1,0,0,2	150	75
77	5,3,2,3,4,4,7,6,0,3	33,28,33,15,37,18,25,20,36,23	7,4,1,3,2,2,4,2,1,0	29,26,32,19,24,29,30,33,21,17	150	75
79	49,54,44,31,20,34,56,38,35,47	1,1,0,0,0,1,0,0,0,1	46,37,34,32,43,45,70,37,50,28	1,0,0,1,0,0,0,1,0,0	150	75
84	22,29,24,21,24,18,14,21,19,27	16,24,26,19,26,23,15,17,25,21	18,23,14,21,22,18,10,16,16,12	19,25,26,32,16,24,29,24,14,19	78	75
85	4,6,5,2,0,0,2,3,8,4	2,4,3,9,6,5,3,5,3,5	8,6,3,6,4,7,9,2,0,6	2,3,4,3,2,2,5,4,4,4	150	75
86	0,0,0,0,0,0,0,0,0,0	4,7,6,15,9,7,3,17,8,6	0,0,0,1,0,0,0,0,0,0	12,3,9,7,7,15,17,10,8,7	83	75
88	95,102,120,89,101,94,92,85,89,95	0,0,1,0,0,0,0,0,0,0	98,105,71,92,82,82,105,106,78,88	0,0,0,0,2,0,2,1,0,0	135	75
89	0,1,0,1,0,0,0,1,1,0	32,29,17,25,22,26,30,26,22,32	1,0,0,0,0,1,0,0,1,0	20,33,29,30,26,22,37,26,20,16	117	75
90	0,1,0,0,0,0,1,1,1,0	32,29,17,25,22,26,30,26,22,32	0,0,0,1,0,1,0,1,0,0	20,33,29,30,26,22,37,26,20,16	150	75
91	0,0,1,0,0,0,1,0,0,0	0,0,0,1,0,0,0,0,0,0	0,0,0,1,0,0,0,1,0,0	1,0,0,0,0,0,0,0,1,0	150	75
92	39,43,43,35,37,42,29,38,41,42	0,1,2,0,0,1,0,1,2,1	34,30,46,48,32,45,51,45,45,30	1,2,0,1,3,0,2,3,1,0	150	75
93	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,1,0,0,0	0,0,0,0,1,0,0,0,0,0	129	75
94	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,1,0,0,0	0,0,0,0,1,0,0,0,0,0	150	75
96	12,14,14,9,8,17,13,13,5,15	0,2,3,1,1,2,0,0,0,1	12,15,12,9,7,16,12,14,6,5	0,1,2,0,1,2,0,1,0,0	97	75
97	3,3,4,0,1,1,2,4,5,1	0,0,0,0,0,0,0,0,0,1	1,5,5,1,2,3,1,6,4,2	0,0,0,1,1,0,1,0,0,0	150	75
99	6,2,1,0,1,1,0,0,0,1	45,45,54,34,35,46,39,35,36,35	3,2,1,0,0,2,0,2,4,1	51,34,40,26,39,38,40,34,44,52	79	75
100	17,10,6,6,12,4,10,10,11,4	0,0,0,0,0,0,0,0,0,0	8,16,6,10,6,11,6,8,3,9	0,0,0,0,1,0,0,0,0,0	78	75
101	11,18,8,7,8,5,8,3,8,6	25,14,21,26,29,22,19,28,21,23	9,10,14,5,9,9,7,5,6,8	11,23,18,18,21,15,20,19,27,8	150	75
106	0,2,2,4,4,3,6,2,2,1	4,6,6,3,5,5,3,5,3,4	1,3,1,2,2,5,1,1,1,3	2,5,3,9,10,7,12,1,2,4	150	75
107	1,1,1,1,2,0,0,1,2,0	112,132,133,139,111,114,90,106,106,144	0,1,0,0,0,0,1,0,1,0	127,104,129,126,110,133,116,135,109,114	150	75
108	129,142,161,162,154,134,114,117,133,154	1,0,0,0,0,0,0,0,0,0	149,137,175,147,118,161,135,164,129,146	1,2,0,0,0,0,0,0,0,0	150	75
110	1,0,0,0,0,4,0,2,0,0	18,24,18,13,25,20,21,22,25,14	0,0,0,1,0,0,1,1,0,0	17,26,17,12,12,16,23,26,28,22	133	75
111	55,50,43,47,55,58,37,47,53,49	0,0,0,1,0,1,0,0,0,0	36,45,52,61,55,46,54,49,33,34	0,0,0,0,0,0,0,0,0,0	117	75
114	10,5,20,12,12,9,8,3,11,9	22,6,18,9,5,7,9,9,8,13	11,13,9,11,5,21,11,8,5,11	19,6,12,10,6,12,13,17,11,13	78	75
115	1,1,0,1,1,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0	0,1,1,0,0,0,0,0,2,1	0,0,0,0,0,1,0,0,0,0	150	75
116	15,17,17,16,9,15,12,19,19,12	0,0,0,1,0,0,0,0,0,0	8,15,13,9,15,16,20,18,18,19	0,0,0,0,0,1,0,0,0,0	113	75
122	56,43,54,26,33,43,43,38,46,36	0,0,0,1,0,0,0,0,0,0	42,39,36,29,34,39,54,43,29,49	0,0,0,1,0,1,0,1,0,0	146	75
124	153,160,153,126,141,171,111,101,132,125	0,3,0,1,1,0,0,0,1,0	143,155,117,131,123,130,118,138,146,131	2,2,0,0,3,2,1,0,1,0	102	75
125	40,39,46,46,38,49,35,26,46,42	5,6,6,1,3,6,3,0,6,2	64,52,47,54,40,48,53,45,50,37	3,3,2,5,3,3,4,0,5,1	150	75
126	25,20,26,34,21,22,15,17,36,25	0,0,0,0,0,1,0,0,0,0	44,40,22,33,24,27,36,22,32,23	1,2,0,0,0,0,0,0,0,0	150	75
128	18,18,13,13,19,11,15,18,6,20	4,0,3,2,2,0,0,0,0,0	14,11,11,12,15,15,10,20,30,21	0,1,0,0,1,1,1,0,1,0	100	75
130	1,1,2,0,1,0,1,2,0,0	44,28,39,21,32,30,25,25,42,48	0,1,0,4,3,0,0,0,1,1	32,36,31,30,26,40,18,27,22,29	150	75
131	5,6,4,2,2,3,5,1,4,3	0,0,0,0,0,0,0,0,0,0	5,5,3,3,3,0,5,6,6,2	0,0,0,0,1,0,0,0,0,0	85	75
132	46,32,42,45,39,27,38,12,42,40	2,3,3,4,4,4,4,5,6,5	33,40,37,27,33,33,32,28,25,18	3,6,2,2,1,4,3,1,3,7	121	75
133	5,7,4,2,6,2,4,9,5,5	117,117,125,84,114,82,93,91,114,96	3,6,7,4,5,6,5,4,4,2	92,123,82,100,100,130,110,97,119,126	79	75
134	157,127,145,156,139,139,114,110,149,120	0,0,0,1,0,0,0,0,0,0	136,128,142,127,134,138,132,107,135,131	0,0,0,0,0,0,0,0,0,0	150	75
136	2,4,7,9,10,9,5,3,3,7	22,17,11,13,9,20,6,11,18,17	14,8,5,5,7,10,4,6,3,7	12,16,12,12,13,12,5,11,11,13	81	75
137	12,7,12,10,16,13,9,6,5,7	0,0,0,0,0,0,0,0,0,1	9,14,6,18,11,9,7,13,11,9	0,0,0,0,0,0,0,0,0,0	150	75
138	52,58,39,35,42,41,33,23,33,45	0,0,0,0,0,2,0,0,1,0	43,50,32,34,22,33,47,40,41,44	0,1,0,0,0,0,1,0,0,0	150	75
139	1,0,0,0,0,0,0,0,0,0	4,4,4,2,5,7,3,1,1,1	1,0,0,0,0,0,0,0,0,0	2,5,1,4,6,3,1,2,3,3	79	75
140	5,3,3,5,1,4,0,4,8,3	89,58,69,84,59,72,56,62,54,63	7,3,2,3,6,6,1,3,2,1	72,68,68,64,68,77,70,61,51,52	80	75
141	1,0,0,1,4,2,1,1,1,0	0,1,0,0,0,0,0,0,0,0	3,1,1,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	150	75
142	3,4,2,2,3,4,3,6,1,1	0,1,0,1,0,2,0,1,0,1	3,4,1,3,0,2,1,1,1,1	0,0,0,3,0,0,0,0,0,0	150	75
